TIC ID	ExoFOP-TESS	Sectors	Epoch	Period	Duration	Depth	Depth	Rtranister	Rstar	Tmag	Delta Tmag	Group Disposition	Reason for Group Disposition	Group Comments	Disposition (VK)	Comments (VK)	Disposition (LC)	Comments (LC)	Disposition (HDL)	Comments (HDL)	Disposition (MZDF)	Comments (MZDF)	Disposition (Julien)	Comments (Julien)	Disposition (JY)	Comments (JY)	Disposition (AF)	Comments (AF)	Disposition(MAC)	Comments(MAC)	Disposition(RI)	Comments(RI)	Disposition(FG)	Comments(FG)	Disposition(MH)	Comments(MH)
66818296	https://exofop.ipac.caltech.edu/tess/target.php?id=66818296	12	2458627.126	3.735285	4.30	17208	1.72	1.90	1.57	11.0261	4.41						CP	WASP-17 b							PC	FSOP			CP	WASP-17 b	CP	Wasp-17 b			CP	WE,pVshape,WASP-17 b 
67309890	https://exofop.ipac.caltech.edu/tess/target.php?id=67309890	16,17	2458739.468	1.16237	1.33	1197	0.12	0.80	2.35	10.2108	7.31						FP	CO, LOWSNR							FP	run-2min, CO, FSCP, 			pFP	low SNR, UC, pVshape ; FFI: LCMOD	(p)FP	low SNR, UC			pFP	LCMOD,pCO
67418624	https://exofop.ipac.caltech.edu/tess/target.php?id=67418624	18	2458791.62	1.103694	0.84	462	0.05	0.34	1.73	8.6344	8.34						pFP	Vshape, FSCP,pCO							pFP	FSCP, pOED			pFP	low SNR, pVshape	PC	v shape			PC	Vshape,FSCP
67646988	https://exofop.ipac.caltech.edu/tess/target.php?id=67646988	21	2458871.022	1.881719	1.24	102854	10.29	0.89	0.31	12.4368	2.47						CP	LP 261-75 b, Fla							PC				PC	Modshit: OED, pVshape ; 2min/FFI: In general, OK. Some flares.  	PC				PC	Short-p,TD
67666096	https://exofop.ipac.caltech.edu/tess/target.php?id=67666096	21	2458872.854	2.70337	2.96	10360	1.04	1.48	1.61	9.43351	4.96						CP	LP 261-75 b							PC	FSCP			PC	All OK	CP	KELT-3 b			CP	OED,KELT-3 b 
67772767	https://exofop.ipac.caltech.edu/tess/target.php?id=67772767	5	2458445.903	7.61177	4.35	6180	0.62	1.11	1.53	10.9335	5.52						PC	LCMOD							PC	run-2min, FSOP			PC	small OED, rest OK	PC				PC	pVshape
67926921	https://exofop.ipac.caltech.edu/tess/target.php?id=67926921	20	2458843.665	3.56681	4.24	4060	0.41	1.83	3.17	9.9841	5.98							Bad Fit, re-run							pFP	run-2min, FFI bad, WE, pSS			PC	Modshift: curve not well fitted, pSS ; FFI : LCMOD, interesting feature around t=1857 (maybe another star), pCO	p(FP)	pTD, OED, UC			FP	pSS,CO
68152139	https://exofop.ipac.caltech.edu/tess/target.php?id=68152139	18	2458792.465	0.73772	1.06	980	0.10	0.42	1.49	10.1342	7.52						pFP	LOWSNR,Vshape, LCMOD, BEER							pFP	run-2min, FSOP, UC			PC	low SNR, OED (maybe due to noise), 	PC	short P, OED, low SNR			PC	Short-p
69068526	https://exofop.ipac.caltech.edu/tess/target.php?id=69068526	14	2458689.031	5.54132	3.29	5370	0.54	2.75	2.06	10.4318	5.68						PC	BAD FFI							pFP	run-2min, FSCP, UC			pFP	low SNR, OED, TFP,  pCO/UC	(p)FP	UC, low SNR			PC	Low SNR
69679391	https://exofop.ipac.caltech.edu/tess/target.php?id=69679391	14	2458684.314	3.47417	3.52	14412	1.44	0.00	0.00	7.55216	4.60						CP	KELT-20 b							PC	FSOP			PC	pTD	CP	KELT-20 b			CP	KELT-20 b 
69747919	https://exofop.ipac.caltech.edu/tess/target.php?id=69747919	2	2458356.975	9.978572	3.60	211	0.02	0.23	1.50	7.7275	9.19						PC	LOWSNR							PC				pFP	low SNR, OED	CP	K2-167 b			CP	OED,K2-167 b 
69838258	https://exofop.ipac.caltech.edu/tess/target.php?id=69838258	2	2458354.573	6.73069	3.50	14722	1.47	1.98	1.66	12.0885	4.58						FP	CO							FP	run-2min, OED, CO, FSOP			PC	pVshape, (relevant increase of flux near transit)	(p)FP	pTD, V shape			PC	pTD
69997672	https://exofop.ipac.caltech.edu/tess/target.php?id=69997672	14	2458684.235	1.80709	3.30	450	0.05	0.43	2.20	9.11458	8.37						pFP	NT							FP	run-2min, CO, FSCP			pFP	NT, TFP	(p)FP	low SNR, pNT, CO			pFP	short-p,LCMOD,Low SNR
70440470	https://exofop.ipac.caltech.edu/tess/target.php?id=70440470	1	2458326.731	3.035381	2.89	16741	1.67	1.34	1.12	12.7923	4.44						CP	WASP-12 b							PC	FSOP			PC	TD	PC	TD			PC	pTD
70513361	https://exofop.ipac.caltech.edu/tess/target.php?id=70513361	3	2458389.84	11.146909	1.36	647	0.06	0.22	0.85	8.1345	7.97						PC								PC	CP			PC	One modshift with TFP and NT, the other OK.	PC	fast transit			pFP	NT
70785910	https://exofop.ipac.caltech.edu/tess/target.php?id=70785910	2	2458354.365	0.49486	1.01	3750	0.38	0.82	1.51	12.2494	6.06						FP	short-P, LOWSNR, CO							PC	run-2min, 	pFP	pVshape, short-P, pCO, UC	pFP	ExoFOP: FSCP ; Modshift: (p)OED ;  2min: (p)CO	(p)FP	UC, CO			PC	Short-p
70899085	https://exofop.ipac.caltech.edu/tess/target.php?id=70899085	5	2458438.386	4.05203	1.30	5530	0.55	0.41	0.61	10.7329	5.64						PC								PC		PC		PC	All OK	CP	LP 714-47 b			CP	LP 714-47 b 
70914192	https://exofop.ipac.caltech.edu/tess/target.php?id=70914192	5	2458438.328	0.60952	1.02	27296	2.73	1.76	1.09	10.361	3.91						pFP	short-P, pCO, Vshape							FP	OED	PC	pVshape, pTD, short-P	PC	TD, pVshape. ExoFOP: Another star in pixel (not bright enough)	pFP	short-P, pv-shape,pEB			PC	TD,Short-p
71431780	https://exofop.ipac.caltech.edu/tess/target.php?id=71431780	20	2458852.707	13.716057	4.43	820	0.08	0.28	1.09	9.09942	7.72						PC								PC	FSCP	PC	FSCP	PC	FFI: SS (after data transmission, maybe irrelevant).  The rest great.	PC				PC	FSCP
71512186	https://exofop.ipac.caltech.edu/tess/target.php?id=71512186	6	2458471.036	14.821751	6.07	486	0.05	0.32	1.60	8.7784	8.28						PC	pCO							PC	FSOP	PC	pSS, FSCP	PC	Everything great, maybe SPR					PC	Low SNR, pvShape
71612483	https://exofop.ipac.caltech.edu/tess/target.php?id=71612483	23	2458928.269	1.216809	2.05	14814	1.48	1.77	1.02	11.4951	4.57						pFP	LCMOD,							pFP	pTD, pVshape	PC	pTD, pVshape, short-P	PC	TD, pVshape. Rest great.					PC	Short-p,pSS
71854745	https://exofop.ipac.caltech.edu/tess/target.php?id=71854745	18	2458793.51	3.10315	3.54	1760	0.18	0.00	0.00	10.2146	6.89						FP	LCMOD,CO							FP	FSCP, pVshape, OED, pSS, Binary, CO	PC	No 2-min PDF.  FFI: FSCP, OED, pSS	PC	pSS (maybe an artifact?), TFP,  Low SNR					PC	FSCP
72090501	https://exofop.ipac.caltech.edu/tess/target.php?id=72090501	6	2458469.473	1.07083	1.66	3820	0.38	0.00	0.00	6.832	6.04						pFP	LCMOD, BAD FIT							pFP	OED, FSCP, Vshape,	PC	No 2-min PDF.  FFI: FSCP, OED, pVshape	pFP	ExoFOP: FSCP. Modshift:  data points OK, fit has offset ; 2min:  artiffact after data transmission & pCO ; 					FP	short-p,CO
72985822	https://exofop.ipac.caltech.edu/tess/target.php?id=72985822	10	2458572.224	3.864109	2.02	8196	0.82	1.24	1.33	12.2397	5.22						PC	UC							pFP	pEB, FSCP, pVshape, pSS, pTD	PC	FSCP, UC, pTD							noPDF	noPDF
73038411	https://exofop.ipac.caltech.edu/tess/target.php?id=73038411	19	2458502.78	13.1	4.83	6440	0.64	1.10	1.52	10.339	5.48																no PDF	no PDF							noPDF	nPDF
73104318	https://exofop.ipac.caltech.edu/tess/target.php?id=73104318	18,19	2458822.593	7.45494	3.47	2280	0.23	1.36	2.45	9.46925	6.61						FP	CO			pFP	FSCP, 2min missing for both sectors, FFI missing for sector 18, pVshape, CO, pSS			pFP	FSCP, LCMOD, Vshape	PC	Missing both PDFs sector 18. Sector 19 only FFI: FSCP, pSS, OED (missing 2-min PDFs as well)							PC	Missing sector 18,FSCP
73228647	https://exofop.ipac.caltech.edu/tess/target.php?id=73228647	10	2458570.102	2.540455	2.44	397	0.04	0.19	1.01	9.4628	8.50						PC	UC			CP	HD 110113 b, FSCP,  run-2min, UC, Low SNR			PC	FSCP	PC	FSCP, UC (missing 2-min files), pLow SNR							noPDF	noPDF
73448352	https://exofop.ipac.caltech.edu/tess/target.php?id=73448352	18	2458794.336	4.73231	3.31	8190	0.82	1.43	1.56	10.1868	5.22						PC				PC	run-2min, pVshape, pTD, according to observation notes it has been retired as an already known planet (https://exofop.ipac.caltech.edu/tess/target.php?id=73448352)			PC		PC	pTD, pEB 							PC	pTD
73540072	https://exofop.ipac.caltech.edu/tess/target.php?id=73540072	23	2458929.646	1.24357	1.27	1730	0.17	0.34	0.84	11.3719	6.90							BAD FIT				run-2min, potentially unmarked transit, UC, MSD			pFP	Low SNR, LCMOD 	pFP	UC, Low SNR, NT							FP	NT,CO
73649615	https://exofop.ipac.caltech.edu/tess/target.php?id=73649615	10	2458570.645	1.23938	0.97	3400	0.34	0.23	0.45	12.5554	6.17						PC	UC, LOWNSR			PC (SPR) 	run-2min, UC, FSCP, 			PC	FSCP, pVshape	PC	FSCP, UC, OED							noPDF	noPDF
73717937	https://exofop.ipac.caltech.edu/tess/target.php?id=73717937	11	2458602.089	16.257799	4.97	6613	0.66	0.80	1.09	11.7528	5.45						PC				CP	HATS-17 b, FSCP, 			PC	FSOP, Data gap, pTD	PC	FSCP, pTD							CP	pVshape,HATS-17 b 
73723286	https://exofop.ipac.caltech.edu/tess/target.php?id=73723286	9	2458547.303	14.065993	3.44	16750	1.67	1.85	1.42	9.1116	4.44						PC				pFP	pTD, pSS, pVshape, 			PC		PC	pEB, pTD, OED,pSS							PC	Artefact?
74482749	https://exofop.ipac.caltech.edu/tess/target.php?id=74482749	8,9	2458518.156	1.25987	1.38	4590	0.46	1.79	2.91	9.1103	5.85						pFP	LCMOD			PC	FSCP, run-2min, pTD, pVshape, LCMOD, pBEER			pFP	OED, LCMOD, pVshape, FSCP, 	PC	LCMOD, OED, short-P. Missing 2-min files							PC	Short-p
74534430	https://exofop.ipac.caltech.edu/tess/target.php?id=74534430	8,9	2458525.563	18.15538	4.30	1032	0.10	0.19	0.61	9.8445	7.47				PC	Extra transit S9 @ 1545, check again S35 and S36, potential second planet					pFP	FSCP, CO, pSS 			PC	FSCP	PC	Sector 8: FSCP, OED, low SNR Sector 9: FSCP, OED, pSS							FP	CO
76923707	https://exofop.ipac.caltech.edu/tess/target.php?id=76923707	2	2458358.118	4.532037	2.37	7257	0.73	0.56	0.74	10.4654	5.35						PC				PC	FSCP			PC	FSCP	PC	FSCP, pTD							PC	pVshape,FSCP
76989773	https://exofop.ipac.caltech.edu/tess/target.php?id=76989773	2	2458355.083	1.769141	1.96	9409	0.94	1.71	1.14	9.623	5.07						pFP	LCMOD,pCO,FSCP			PC	FSCP, pVshape, short-P			PC	FSCP, pVshape	PC	FSCP, pVshape, pTD							PC	pTD
77031413	https://exofop.ipac.caltech.edu/tess/target.php?id=77031413	2	2458355.195	1.38665	2.29	23490	2.35	1.34	0.93	11.4996	4.07						FP	LCMOD,pCO,FSCP			PC	short-P, critical FSCP,  run-2min, weak CO, asymmetric OED, 			PC	FSCP	PC	FSCP, pTD, pVshape, OED							PC	FSCP,TD
77031414	https://exofop.ipac.caltech.edu/tess/target.php?id=77031414	2	2458355.196	1.386653	2.29	14261	1.43	1.09	1.00	10.9571	4.61						PC				CP 	WASP-173 A b, short-P,  critical FSCP			PC	FSCP, pTD	PC	pTD, pVshape, FSCP							CP	WASP-173 A b 
77044471	https://exofop.ipac.caltech.edu/tess/target.php?id=77044471	2	2458356.103	2.686063	2.42	12457	1.25	1.25	1.24	13.2576	4.76						CP	HATS-16 b			CP	HATS-16 b, short-P, FSCP, 			PC	FSCP, pTD	PC	FSCP, pVshape, pTD							FP	CO
77156657	https://exofop.ipac.caltech.edu/tess/target.php?id=77156657	4,5	2458413.13	3.83988	5.63	4779	0.48	1.41	2.08	11.8831	5.80						CP	WASP-159 b			CP	WASP-159 b			PC	OED, pTD	PC	No 2-min PDF. From FFI: OED, pTD, pVshape 							CP	pCO,WASP-159 b 
77156829	https://exofop.ipac.caltech.edu/tess/target.php?id=77156829	4,5	2458411.474	0.860233	0.55	641	0.06	0.10	0.36	10.4276	7.98						PC				PC (SPR) 	Short-P, UC Sec 5, 			PC	SPR, FSOP	PC	FSCP, short-P, OED							FP	Short-p,LCMOD, Low SNR
77156829	https://exofop.ipac.caltech.edu/tess/target.php?id=77156829	4,5	2458414.759	14.775648	1.42	1050	0.10	0.10	0.36	10.4276	7.45						PC				pFP	 Low SNR, pSS, 			PC	SPR, FSOP	PC	FSCP, TFP, Low SNR, NT on Sector 4. 							FP	NT
77228304	https://exofop.ipac.caltech.edu/tess/target.php?id=77228304	4,5	2458410.951	0.336826	0.88	18251	1.83	1.36	1.00	15.7298	4.35						pFP	LOWSNR,CO			pFP	FSCP, short-P, CO (UC), pVshape			FP	CO, OED, FSCP, 	PC	pTD, FSCP, pVshape							pFP	Short-p, pSS,FSCP
77253676	https://exofop.ipac.caltech.edu/tess/target.php?id=77253676	4,5	2458418.929	8.607221	3.32	467	0.05	0.20	1.02	9.3553	8.33						PC				PC (SPR) 	Low SNR, pLCMOD, 			PC	pOED	PC	Sector 4: Low SNR, OED							FP	LCMOD, NT
77527511	https://exofop.ipac.caltech.edu/tess/target.php?id=77527511	8	2458518.271	0.77864	0.99	1520	0.15	0.78	2.19	9.94921	7.05						PC	edge of CCD,			pFP	short-P, run-2min, MSD, pSS, overall bad data			pFP	OED	PC	No 2-min files. From FFI: OED, pTD, pVshape, pSS							PC	pSS
77951245	https://exofop.ipac.caltech.edu/tess/target.php?id=77951245	5,6	2458443.169	10.714754	2.05	56910	5.69	3.09	1.00	12.4258	3.11						PC	Fla			PC	pTD, red dwarf, Vshape, LCMOD (FFI s5), run-FFI s6			pFP	pBEER in FFI	PC	pSS, pTD							pFP	TD
78055054	https://exofop.ipac.caltech.edu/tess/target.php?id=78055054	5,6	2458439.25	4.388721	3.05	26085	2.61	1.31	0.91	12.8461	3.96						CP	HATS-43 b			CP	HATS-43 b			PC	FSOP	PC	FSCP, pTD							CP	TD,HATS-43 b 
78154865	https://exofop.ipac.caltech.edu/tess/target.php?id=78154865	8	2458517.428	0.493826	1.16	311	0.03	0.17	1.09	8.9225	8.77						pFP	short-P, CO, LOWSNR			PC	short-P, run-FFI, FSCP, Low SNR, pOED, pVshape			PC	FSCP, SPR. pVshape	PC	FSCP, pVshape, short-P, UC, OED							noPDF	noPDF
78672342	https://exofop.ipac.caltech.edu/tess/target.php?id=78672342	6	2458471.302	2.97638	3.21	796	0.08	0.98	3.56	10.1347	7.75						PC	pCO,			pFP	pShort-P, FSCP, run-2min, CO, 			pFP	FSCP, UC	PC	FSCP, Low SNR							PC	pSS,FSCP
79292541	https://exofop.ipac.caltech.edu/tess/target.php?id=79292541	6,7	2458470.737	2.27728	1.65	1700	0.17	0.95	2.63	9.4247	6.92						pFP	pCO,FSCP,LCMOD			PC	FSCP, run-2min, short-P, LCMOD			pFP	FSCP, LCMOD, OED	PC	no 2-min PDF. from FFI: FSCP, pSS, pLCMOD							PC	FSCP
79395355	https://exofop.ipac.caltech.edu/tess/target.php?id=79395355	1	2458328.337	7.31898	3.77	3809	0.38	0.78	1.30	11.407	6.05						FP	CO			pFP	run-2min, CO, OED			FP	CO	PC	OED							PC	pVshape 
79748331	https://exofop.ipac.caltech.edu/tess/target.php?id=79748331	13	2458656.67	6.441821	1.93	1201	0.12	0.24	0.80	10.0059	7.30						PC				PC (SPR) 	FSCP, LCMOD			PC	FSCP, LCMOD, pSS	PC	FSCP, pSS							FP	CO
79748331	https://exofop.ipac.caltech.edu/tess/target.php?id=79748331	13	2458664.491	12.226323	2.22	1289	0.13	0.24	0.80	10.0059	7.22						PC				PC (SPR) 				PC	FSCP, LCMOD, pSS	PC	FSCP, pSS							FP	LCMOD, Low SNR,FSCP
80166433	https://exofop.ipac.caltech.edu/tess/target.php?id=80166433	13	2458656.149	1.54602	0.85	440	0.04	0.54	2.50	8.0465	8.39						pFP	pSS, UC			pFP	run-2min, UC, Low SNR, pSS, transit shape changes? 			FP	SS, OED	PC	Low SNR, UC, OED, pEB, pOcc, short-P							PC	pSS
80275202	https://exofop.ipac.caltech.edu/tess/target.php?id=80275202	8	2458495.342	3.66465	2.76	2383	0.24	0.74	1.54	10.4989	6.56										No data	FSCP, 					No PDF	No PDF							noPDF	noPDF
80432617	https://exofop.ipac.caltech.edu/tess/target.php?id=80432617	19	2458360.674	16.45209	6.46	3320	0.33	0.77	1.85	12.3409	6.20										No data						No PDF	No PDF							noPDF	noPDF
80439101	https://exofop.ipac.caltech.edu/tess/target.php?id=80439101	2	2458361.058	7.42229	6.43	44930	4.49	0.00	0.00	12.6435	3.37						pFP	LCMOD,CO			PC	FSCP with lower magnitude, run-2min, LCMOD, UC, Low SNR	PC	FSOP, LCMOD, UC, lightcurve is contaminated by neighbour star	pFP	FSCP, OED, LCMOD, pSS	pFP	No 2-min PDF. from FFI: NT, OED							pFP	NT
81212286	https://exofop.ipac.caltech.edu/tess/target.php?id=81212286	20	2458843.028	0.685081	1.06	2676	0.27	0.18	0.38	12.507	6.43						pFP	pCO,LOWSNR,FSCP			pFP	FSCP, CO, short-P, Asymmetric transit 			pFP	FSCP, UC	PC	FSCP, pVshape							PC	pSS, Short-p,FSCP
81247740	https://exofop.ipac.caltech.edu/tess/target.php?id=81247740	23	2458929.443	1.36416	1.12	6740	0.67	2.04	1.08	10.6503	5.43						PC	WE			pFP	run-2min, FSCP, pTD, short-P, LCMOD, UC, pSS			pFP	OED, FSCP	PC	FSCP, OED, UC							PC	FSCP
81419525	https://exofop.ipac.caltech.edu/tess/target.php?id=81419525	8,9	2458518.381	1.54959	2.87	3690	0.37	1.24	1.58	9.5518	6.08						pFP	Vshape,pCO			PC	FSCP, run-2min, short-P, Low SNR, Sec 08 modshift curve appears bugged			PC	FSCP	PC	FSCP. No 2-min PDF. From FFI: Sector 8 : NT, pSS. Sector 9: OED, pVshape, Low SNR							pFP	OED,Short-p
81429971	https://exofop.ipac.caltech.edu/tess/target.php?id=81429971	7,8	2458494.823	3.04375	3.67	1080	0.11	2.27	3.59	10.1356	7.42						re-run	WE			Data are not sufficient for a conclusion	FSCP,  run-2min, same issue as TIC 81419525 in both sectors, UC, MSD			FP	FSCP, UC, NT on 0, OED	pFP	FSCP, NT, UC, LCMOD, OED							pFP	WE,LCMOD
81831095	https://exofop.ipac.caltech.edu/tess/target.php?id=81831095	18,19	2458794.777	3.13282	0.84	1130	0.11	0.66	2.06	9.9944	7.37						pFP	pCO,LOWSNR,FSCP			PC	FSCP (+), run-2min, Low SNR, 			PC	FSCP. 	PC	No 2-min PDF. From FFI: Low SNR							PC	pVshape,FSCP
82128636	https://exofop.ipac.caltech.edu/tess/target.php?id=82128636	9	2458543.937	7.47428	1.55	1595	0.16	0.68	1.56	8.8252	6.99						PC				PC	CO in FFI			PC	FSCP, pOED	PC	FSCP, OED, pSS							FP	WE,Low SNR.CO
82308728	https://exofop.ipac.caltech.edu/tess/target.php?id=82308728	22	2458904.926	9.497	2.27	660	0.07	0.19	0.77	6.9859	7.95						CP	HD 97658 b			CP	HD 97658 b, FSCP, LCMOD in 2min			PC	FSCP, LCMOD	PC	pSS, OED							FP	Low SNR, CO
82362447	https://exofop.ipac.caltech.edu/tess/target.php?id=82362447	8	2458517.561	2.819817	6.61	183631	18.36	2.03	0.44	15.2474	1.84				pFP	pCO, Vshape, TD	FP	pCO, TD, Vshape			pFP	TD, FSCP, short-P, red dwarf,  Vshape			pFP	FSCP, UC, pVshape, pTD	PC	pTD, pVshape							noPDF	noPDF
82707763	https://exofop.ipac.caltech.edu/tess/target.php?id=82707763	10	2458573.886	6.65642	5.35	7270	0.73	1.34	1.73	10.1405	5.35										No data						no PDF	no PDF							noPDF	noPDF
83092282	https://exofop.ipac.caltech.edu/tess/target.php?id=83092282	8	2458520.693	6.402053	3.87	3893	0.39	0.84	1.41	8.5615	6.02						PC	UC			PC	2min PDF is bugged			pFP	UC	PC	Couldn't see 2-min PDF for transits. 2-min Modshift looks OK.							pFP	pVshape, CO
83210867	https://exofop.ipac.caltech.edu/tess/target.php?id=83210867	14	2458684.475	1.19573	1.57	800	0.08	0.45	1.73	9.94025	7.74						pFP	LOWSNR,pCO,			pFP	run-2min, CO, Low SNR, FSCP			pFP	NT, FSCP, LowSNR	pFP	No 2-min file. from FFI: UC, NT, FSCP							PC	Short-p, Low SNR,FSCP
85031598	https://exofop.ipac.caltech.edu/tess/target.php?id=85031598	19	2458816.412	1.155109	1.48	777	0.08	1.05	2.99	7.3543	7.77						PC	pVshape			pFP	pSS, pVshape, short-P			PC	pVshape, pOED	PC	pVshape							PC	Short-p
85242435	https://exofop.ipac.caltech.edu/tess/target.php?id=85242435	20	2458844.111	9.606666	3.93	1588	0.16	0.40	1.09	9.52682	7.00						PC	LCMOD, check other sec			FP	FSCP, SS at 0.55, OED 			pFP	pSS, FSCP	PC	FSCP, pSS							PC	Low SNR,FSCP
85293053	https://exofop.ipac.caltech.edu/tess/target.php?id=85293053	21	2458871.756	8.05147	3.41	590	0.06	0.22	1.00	9.3523	8.07						PC	UC			PC (SPR) 	MSD in FFI PDF, LCMOD 			PC	FSOP	PC	FSCP							pFP	LCMOD
86280613	https://exofop.ipac.caltech.edu/tess/target.php?id=86280613	20,21	2458851.59	9.5727	2.51	3430	0.34	1.85	1.83	9.5173	6.16						pFP	LCMOD,pCO			FP	LCMOD, Vshape, pSS at 0.5 			pFP	pSS, LCMOD, pVshape, pTD	pFP	pSS, pLCMOD, pEB							pFP	LCMOD
86396382	https://exofop.ipac.caltech.edu/tess/target.php?id=86396382	20	2458843.005	1.09141	2.96	15542	1.55	1.99	1.75	11.0967	4.52				PC	pSS, pOcc, short-P	CP	WASP-12 b, Occ			CP	WASP-12 b, short-P, pTD, 			PC	pOcculation, ShortP	PC	pOcc, pTD, pVshape, UC							noPDF	noPDF
87090944	https://exofop.ipac.caltech.edu/tess/target.php?id=87090944	19	2458818.209	0.64367	0.55	800	0.08	0.45	1.49	10.1089	7.74						pFP	Vshape,short-P,FSCP			pFP	FSCP, run-2min, UC, pOED, pVshape, short-P, 			PC	FSCP, pVshape	PC	FSCP, pVshape, short-P							PC	Short-p,FSCP
88684250	https://exofop.ipac.caltech.edu/tess/target.php?id=88684250	7	2458494.734	4.58776	4.56	3870	0.39	1.05	1.86	10.0998	6.03						PC				PC	run-2min, LCMOD			PC	LCMOD, FSOP	PC	FSCP, pVshape							PC	pVshape,FSCP
88863718	https://exofop.ipac.caltech.edu/tess/target.php?id=88863718	7	2458492.839	1.93217	3.45	980	0.10	0.52	2.01	9.42344	7.52						pFP	FSCP,Vshape			PC	FSCP, run-2min, pVshape, pOED,  short-P			PC	FSCP, pVshape	PC	FSCP, Low SNR, OED, UC							PC	Short-p,FSCP
88977253	https://exofop.ipac.caltech.edu/tess/target.php?id=88977253	7	2458492.708	2.767691	1.88	22690	2.27	2.59	1.55	12.33	4.11						PC	LCMOD			pFP	FSCP, short-P, TD, Vshape, LCMOD, 			pFP	FSCP, too large, pVshape, pTD	PC	pTD, FSCP							PC	pSS,TD,FSCP
88996391	https://exofop.ipac.caltech.edu/tess/target.php?id=88996391	25	2458985.951	2.319456	2.03	19882	1.99	1.18	0.63	11.9441	4.25				PC	Vshape; poor fit; duration too long	FP	pSS (very tiny, biased), wrong duration, Vshape, TFOP EB	pFP	pTD, Vshape	pFP	pTD, LCMOD, Vshape	PC	pTD, LCMOD, FSOP, Vshaped	PC	pTD, pVshape	PC	pTD, pVshape	PC	pVspahe, pTD	PC	pTD,  pVshape	PC	pSS,pVshape	PC	pTD, pVshape 
89020549	https://exofop.ipac.caltech.edu/tess/target.php?id=89020549	1	2458326.904	2.109307	2.07	1379	0.14	0.30	0.88	10.8061	7.15						PC				CP	TOI-132 b, FSCP			PC	FSCP	PC	FSCP							CP	TOI-132 b, pCO
89256802	https://exofop.ipac.caltech.edu/tess/target.php?id=89256802	4	2458411.561	1.176044	0.98	15115	1.51	0.25	0.18	13.741	4.55						PC	Vshape,Fla			pFP	FSCP+, short-P, run-2min, pSS, pVshape, pOED			pFP	FSCP, pSS, pVshape, pOED	PC	FSCP, pSS, OED							noPDF	noPDF
89389197	https://exofop.ipac.caltech.edu/tess/target.php?id=89389197	14	2458684.63	1.32047	1.18	850	0.09	3.73	6.44	8.908	7.68				FP	NT	FP	CO, FFI bad			FP	short-P, run-2min, NT, Low SNR, CO			pFP	LowSNR, NR, FSCP	pFP	UC, NT, Low SNR, OED							FP	Short-p, NT
89510024	https://exofop.ipac.caltech.edu/tess/target.php?id=89510024	14	2458683.737	2.36549	1.77	490	0.05	0.00	0.00	9.577	8.27						FP	CO, FFI bad			FP	short-P, run-2min, FSCP, CO, LCMOD			FP	CO, FSCP, LCMOD, NT	pFP	UC, LCMOD, OED							FP	LCMOD,CO
89535068	https://exofop.ipac.caltech.edu/tess/target.php?id=89535068	10	2458518.344	6.10824	3.26	970	0.10	0.60	1.07	10.3349	7.53							FFI bad			pFP	FSCP, run-2min, LCMOD, UC, MSD			FP	UC, OED, FSCP, LCMOD, LowSNR, NT	pFP	FSCP, NT, pSS, pLCMOD, OED							FP	CO
89643259	https://exofop.ipac.caltech.edu/tess/target.php?id=89643259	14	2458684.205	2.22223	2.38	3035	0.30	1.99	3.68	10.4813	6.29						FP	FFI bad			FP	short-P, FSCP, run-2min, UC, LCMOD, pWE, pSS, pEB			FP	FSCP, LowSNR, OED,NT	pFP	UC, FSCP, NT, LCMOD, OED							FP	LCMOD, CO
89759617	https://exofop.ipac.caltech.edu/tess/target.php?id=89759617	14,15	2458685.603	3.33041	3.98	3630	0.36	2.57	2.35	10.4806	6.10						FP	CO, FFI bad			FP	short-P, FSCP, run-2min, CO, pVshape			FP	CO, FSCP, LowSNR	PC	UC, Low SNR, OED, NT on Sector 14							FP	Low SNR, CO
90448944	https://exofop.ipac.caltech.edu/tess/target.php?id=90448944	8,9	2458518.269	1.44095	2.11	490	0.05	0.31	1.52	9.5719	8.27										No Data	No Data			pFP	FSCP, UC, lowSNR, pOED	no PDF	no PDF							noPDF	noPDF
90504905	https://exofop.ipac.caltech.edu/tess/target.php?id=90504905	14	2458685.613	2.264539	3.82	15020	1.50	0.46	0.41	13.7991	4.56						pFP	pCO, pSS			pFP	Critical FSCP, short-P, CO			pFP	FSCP, UC	PC	FSCP, pVshape							FP	LCMOD
90544017	https://exofop.ipac.caltech.edu/tess/target.php?id=90544017	9	2458519.045	3.22374	2.25	570	0.06	0.00	0.00	8.7157	8.11						pFP	CO,pSS,LOWSNR			pFP	FSCP, run-2min, CO, pSS, OED			FP	FSCP, UC, OED, pVshape	PC	FSCP, pEB, OED							PC	pSS,FSCP
90919952	https://exofop.ipac.caltech.edu/tess/target.php?id=90919952	13	2458660.163	4.13812	3.91	5560	0.56	0.00	0.00	10.5084	5.64						PC				pFP	FSCP, run-2min, pTD, pVshape, LCMOD			pFP	FSCP, OED,pVshape	PC	OED, pVshape, pSS							PC	FSCP
91576611	https://exofop.ipac.caltech.edu/tess/target.php?id=91576611	13	2458659.069	4.43651	3.37	1520	0.15	1.78	2.32	8.7823	7.05										No Data	No Data					no PDF	no PDF							noPDF	noPDF
92013169	https://exofop.ipac.caltech.edu/tess/target.php?id=92013169	6	2458468.957	2.35538	0.85	820	0.08	0.66	2.37	9.73965	7.72										No Data	No Data					no PDF	no PDF							noPDF	noPDF
