TIC ID	ExoFOP-TESS	Sectors	Epoch	Period	Duration	Depth	Depth	Rtranister	Rstar	Tmag	Delta Tmag	Group Disposition	Reason for Group Disposition	Group Comments	Disposition (VK)	Comments (VK)	Disposition (LC)	Comments (LC)	Disposition (HDL)	Comments (HDL)	Disposition (MZDF)	Comments (MZDF)	Disposition (Julien)	Comments (Julien)	Disposition (JY)	Comments (JY)	Disposition (AF)	Comments (AF)	Disposition(MAC)	Comments(MAC)	Disposition(RI)	Comments(RI)	Disposition(FG)	Comments(FG)	Disposition(MH)	Comments(MH)
7624182	https://exofop.ipac.caltech.edu/tess/target.php?id=7624182	4	2458411.816	1.108467	1.10	860	0.09	0.84	3.07	8.7929	7.66				FP	SS	FP	SS, CO, FSCP			pFP	FSCP, Vshape in FFI, SS, pEB	pFP	pSS, short-P, FSCP	FP	SS, FSCP, pVshape							FP	SS,Vshape,EB	FP	EB, SS
8400842	https://exofop.ipac.caltech.edu/tess/target.php?id=8400842	19	2458819.064	3.191584	2.93	8060	0.81	1.45	1.69	9.441	5.23				PC		PC				CP	XO-3 b	PC	CP, excellent looking transit	PC								CP	XO-3 b	CP	XO-3 b
8767448	https://exofop.ipac.caltech.edu/tess/target.php?id=8767448	21	2458870.744	4.353217	4.00	9420	0.94	1.44	1.59	9.98111	5.06				PC		CP	WASP-13 b			CP	WASP-13 b	PC	FFI unreliable, looks good on 2min, CP	PC	FSOP							CP	WASP-13 b	CP	WASP-13 b
8967242	https://exofop.ipac.caltech.edu/tess/target.php?id=8967242	22	2458904.816	7.093853	2.51	284	0.03	0.15	0.96	8.3662	8.87				PC		PC				PC (SPR) 	Almost textbook in 2min	PC	FFI unreliable, Low SNR	PC	SPR							PC	Low SNR	PC	Low SNR
8988289	https://exofop.ipac.caltech.edu/tess/target.php?id=8988289	2	2458365.988	13.32379	2.56	95718	9.57	2.56	0.84	13.1186	2.55				PC		pPC	run 2min			pFP	Low SNR, TD	PC	Run 2min, Vshape, pTD	FP	OED, pVshape							pFP	pTD,Vshape	pFP	TD, OED, Vshape
9006668	https://exofop.ipac.caltech.edu/tess/target.php?id=9006668	2	2458354.669	1.272419	1.40	438	0.04	0.15	0.79	9.926601	8.40				PC	LowSNR	PC	HPMS			PC	Low SNR in FFI, Good in 2min			PC	SPR, FSOP							PC	Low SNR,HPMS		
9032368	https://exofop.ipac.caltech.edu/tess/target.php?id=9032368	2	2458355.679	1.632	1.47	5500	0.55	0.82	1.11	13.2889	5.65				pFP	LowSNR, NT	FP	low SNR, CO			pFP	Low SNR, pCO			FP	CO, FSOP							FP	Low SNR,CO		
9033144	https://exofop.ipac.caltech.edu/tess/target.php?id=9033144	2	2458354.292	4.71452	3.32	19805	1.98	1.77	1.28	9.74346	4.26				FP	OED or wrong period	FP	OED, pCO			pFP	Vshape, TFP, TD (both 2min and FFI)			FP	OED							FP	Vshape,pSS		
9100874	https://exofop.ipac.caltech.edu/tess/target.php?id=9100874	2	2458357.84	6.16425	2.43	11990	1.20	2.57	1.28	13.1198	4.80				PC	LowSNR		LCMOD, run 2min			FP	LCMOD, Low SNR, SS, TD			PC	FSOP							FP	Vshape,SS,LCMOD,BEER		
9102327	https://exofop.ipac.caltech.edu/tess/target.php?id=9102327	2	2458354.543	3.2615	2.23	1652	0.17	0.45	1.13	11.3018	6.95				pFP	LowSNR, NT	FP	CO, low SNR			FP	FSCP, CO, Low SNR			pFP	FSCP, UC, lowSNR, pVshape									PC	Low SNR,pVShape
9348006	https://exofop.ipac.caltech.edu/tess/target.php?id=9348006	21	2458877.565	10.240374	3.65	9295	0.93	0.72	0.84	10.9184	5.08				PC	pSS or mutli?	PC(s)	MD, multi?			PC	FFI:  LCMOD, Low SNR; 2min: Ok, SS			PC										PC	Low SNR,pVShape
9392421	https://exofop.ipac.caltech.edu/tess/target.php?id=9392421	22	2458911.718	9.61396	5.27	6940	0.69	1.28	1.71	10.7184	5.40				PC		PC				PC	MD			PC										PC	pVshape
9725627	https://exofop.ipac.caltech.edu/tess/target.php?id=9725627	2	2458356.962	4.15701	3.96	4852	0.49	0.57	0.90	10.9774	5.79				PC		PC				PC	http://simbad.u-strasbg.fr/simbad/sim-id?Ident=%405537302&Name=WASP-30b&submit=submit			PC	FSOP									PC	Good one
9727392	https://exofop.ipac.caltech.edu/tess/target.php?id=9727392	2	2458355.326	4.534451	4.94	23575	2.36	2.07	1.47	11.2932	4.07				FP	SS	FP	SS, EB			pFP	TD, SS, EB			FP	SS, pTD, EB, FSOP 									PC	pTD
9804616	https://exofop.ipac.caltech.edu/tess/target.php?id=9804616	4	2458411.066	0.516835	0.94	33191	3.32	0.59	0.27	14.1118	3.70				PC	pVshape	pFP	pCO, p-Vshape, pTD			pFP	FFI - Glitch; 2 min - Vshape, TD, pCO			PC	FSOP									PC	Vshape, no 2min
9828416	https://exofop.ipac.caltech.edu/tess/target.php?id=9828416	25	2458986.273	6.21075	4.35	4290	0.43	1.24	2.10	9.8251	5.92				PC		PC				PC	MD			PC										PC	pTD, short-p, Vshape
9837861	https://exofop.ipac.caltech.edu/tess/target.php?id=9837861	18,19	2458817.938	0.65725	2.00	310	0.03	0.40	2.68	9.9021	8.77				pFP	LowSNR, NT	pFP	pCO, low SNR			pFP	Low SNR			pFP	FSCP, lowSNR									PC	Low SNR,FSCP
9858404	https://exofop.ipac.caltech.edu/tess/target.php?id=9858404	4	2458411.269	0.39149	0.75	578	0.06	0.53	2.25	8.00006	8.09				FP	pVshape, short-P	FP	pCO, LCMOD, p-Vshape			pFP	FSCP, Vshape, pSS, pEB			pFP	FSCP. pOED, pVshape							FP	Vshape,pSS,pCOFSCP		
11111899	https://exofop.ipac.caltech.edu/tess/target.php?id=11111899	15	2458684.289	0.61944	1.58	1555	0.16	0.56	1.44	9.6996	7.02				FP	LowSNR, pVshape, UC	FP	LCMOD, V-shape, low-SNR, FSCP			pFP	FSCP, LCMOD, Vshape			pFP	FSCP, OED, pVshape							FP	Vshape,LCMOD,CO,FSCP		
11561667	https://exofop.ipac.caltech.edu/tess/target.php?id=11561667	9	2458543.867	3.087925	2.22	55307	5.53	2.09	1.00	14.9181	3.14				PC	pTD	pFP	pTD			PC	pTD, FSCP; FFI - Low SNR, CO; 2min - Anomalies on OddEven, but looks acceptable			PC	FSOP									PC	pTD, FSCP
11996814	https://exofop.ipac.caltech.edu/tess/target.php?id=11996814	24	2458955.98	0.449014	1.75	2583	0.26	0.28	0.63	11.6484	6.47				PC	FFI UC, V-shape, short-P		multi-FSCP, low SNR			PC	Vshape; Significant CO, but both in FFI and 2mins the transits look significant			pFP	FSCP, UC, pOED, pVshape									PC	VShape
12421862	https://exofop.ipac.caltech.edu/tess/target.php?id=12421862	2	2458356.375	20.427265	2.18	1208	0.12	0.14	0.44	9.92801	7.30				PC		PC, SPR				PC (SPR) 	FFI - Low SNR, either MD or LCMOD; 2mins - Ok			PC	SPR, FSOP									PC	Low SNR
12423815	https://exofop.ipac.caltech.edu/tess/target.php?id=12423815	2	2458356.088	2.839249	1.48	37162	3.72	1.84	1.00	14.6253	3.57				PC	pVshape	PC				PC	Vshape			PC	FSOP							PC		pFP	TD, Vshape
12862099	https://exofop.ipac.caltech.edu/tess/target.php?id=12862099	3	2458386.578	2.423823	2.25	16167	1.62	1.09	0.93	12.3993	4.48				PC		CP	WASP-44b			CP	WASP-44 b			PC	FSOP							CP	WASP-44b	pFP	TD, Vshape,WASP-44 b
13021029	https://exofop.ipac.caltech.edu/tess/target.php?id=13021029	5	2458439.124	3.85605	3.92	9750	0.98	1.28	1.43	11.7231	5.03				PC		CP	WASP-61b			CP 	WASP-61 b			PC								CP	WASP-61b	CP	VShape,WASP-61 b
